WKT,id,typ,ranking
"MULTIPOLYGON (((22.873562391242 53.1298098959051,22.8752865181747 53.1302017429353,22.8838287834321 53.1303192970443,22.8841814457593 53.1297707112021,22.8826924270447 53.129574787687,22.878695587337 53.1293788641719,22.8739150535691 53.1291437559538,22.873562391242 53.1298098959051)))","183","0","0.95"
"MULTIPOLYGON (((22.9114105727962 53.1220126002407,22.9134916036152 53.1219928092142,22.9135562379343 53.1208565833097,22.9121985084157 53.1208757836175,22.9113607273438 53.120925064857,22.9114105727962 53.1220126002407)))","184","3","0.80"
"MULTIPOLYGON (((22.8947613155736 53.1329446721464,22.8967989201304 53.1338851050188,22.8992283717174 53.1352565696243,22.9003608742749 53.1356432778147,22.9010913232955 53.1352918169602,22.8982610878606 53.133091670436,22.8960152260701 53.1324352710072,22.8947613155736 53.1329446721464)))","185","0","0.75"
"MULTIPOLYGON (((22.9006666029483 53.1366846665067,22.9017627295118 53.1364280428647,22.9015794538983 53.1358835248726,22.9013185684764 53.13582377727,22.9005021065206 53.1359796818163,22.9006666029483 53.1366846665067)))","186","4","0.85"
"MULTIPOLYGON (((22.9009931946946 53.1372388949875,22.9031236182656 53.138963892497,22.9051452618728 53.1406248739375,22.9077304978421 53.141515236119,22.908201668708 53.1407032433436,22.9069869429145 53.1403505810164,22.9050861902825 53.1387469766425,22.9026311759135 53.1364042163276,22.9009931946946 53.1372388949875)))","187","0","0.75"
"MULTIPOLYGON (((22.9136698605247 53.122344006312,22.917919475056 53.1227566493623,22.9189274876647 53.1231393644451,22.9197848217563 53.1236351721126,22.9223155067255 53.1239657105575,22.9236686484845 53.1237281360502,22.9245672998817 53.1233356216468,22.9252078298169 53.1227958340653,22.925341999362 53.1223853236176,22.9246912517985 53.1218946806134,22.923529202578 53.1218533633078,22.9233949213347 53.1221839017527,22.9208900596816 53.1220237971934,22.9205078746046 53.1216106241373,22.9173317045107 53.1211892612416,22.9136905191776 53.1210734991642,22.9136698605247 53.122344006312)))","188","0","0.85"
"MULTIPOLYGON (((22.9370024254247 53.1426232937913,22.9431807460629 53.1436947239905,22.9486759477102 53.1438599932129,22.9465687651236 53.1422486182938,22.9426436210899 53.141794127932,22.9394415299044 53.1415875414039,22.9370024254247 53.1426232937913)))","189","0","0.85"
"MULTIPOLYGON (((22.947395111236 53.1242549316969,22.9520639667709 53.1246061287946,22.9536650123636 53.1245338235098,22.9536030364052 53.1235112201957,22.9497915149619 53.1229121192642,22.9480525116752 53.1233444199075,22.947395111236 53.1242549316969)))","190","0","0.70"
"MULTIPOLYGON (((22.9917905561233 53.1262588210194,22.9927615128053 53.1263827729362,22.9953876329185 53.1229917575804,22.996680728118 53.1198569813391,22.9960145881667 53.1191516566848,22.9948893540447 53.1201438597878,22.9932779791255 53.1225609221665,22.9917905561233 53.1262588210194)))","191","0","0.75"
"MULTIPOLYGON (((22.9819427891644 53.1266744585866,22.9842501478478 53.1268166046452,22.9847046382097 53.1256287321087,22.9817607801843 53.1256390614351,22.9819427891644 53.1266744585866)))","192","0","0.45"
"MULTIPOLYGON (((22.9882168322666 53.1309854369956,22.9849835300226 53.1322808183133,22.9839505973821 53.1349871018313,22.9840125733406 53.1375281161269,22.9853347271203 53.1371975776819,22.9862152572305 53.1346485374722,22.9878641699394 53.1325136404132,22.9882168322666 53.1309854369956)))","193","0","0.85"
"MULTIPOLYGON (((22.9694081748189 53.1420355232461,22.9707404547215 53.1414085679979,22.9725676796842 53.1408128419235,22.9765061643003 53.1386419220134,22.9783031024035 53.1377252059144,22.977029948691 53.1370323084594,22.9758524054809 53.1375281161269,22.9725470210314 53.1391601496988,22.9694069058044 53.1405236207842,22.9694081748189 53.1420355232461)))","194","0","0.85"
"MULTIPOLYGON (((22.999446149881 53.149239180704,23.0005188369352 53.1484358848102,22.9985562649183 53.1475475627393,22.9968002794295 53.1472170242944,22.9912732391018 53.1437988348818,22.9877724481519 53.1401517650336,22.9847293936982 53.1389007470048,22.9828350301304 53.1380445824471,22.9783814718096 53.1375292823993,22.9778720706704 53.1385088999747,22.9813986939418 53.139253409332,22.9845726548861 53.1399587339863,22.9866102594429 53.141682860919,22.986806182958 53.1430935102275,22.9884128663889 53.1437463706224,22.9904787316699 53.1455023561112,22.9932676497991 53.1469278031551,22.9968415967351 53.1485185194214,22.999446149881 53.149239180704)))","195","0","0.95"
"MULTIPOLYGON (((22.9593768908468 53.1458364394387,22.9601605849072 53.1445433442391,22.9591085673789 53.144066579741,22.9563196492496 53.1438806518657,22.9529897842553 53.1437204654758,22.9520639667709 53.14450041145,22.9540085865337 53.1454445924085,22.9593768908468 53.1458364394387)))","196","0","0.80"
"MULTIPOLYGON (((22.9849645019163 53.1470511652322,22.9858265653826 53.1465025793899,22.9847293936982 53.1453270382994,22.9846118395891 53.1444649748331,22.9854347183524 53.1433678031487,22.9859102221645 53.1410905216834,22.9851462081942 53.1404440483239,22.9838281455288 53.1433678031487,22.9829660820624 53.1452094841904,22.9841416231529 53.1460715476568,22.9849645019163 53.1470511652322)))","197","1","0.60"
"MULTIPOLYGON (((22.9853563489464 53.1471687193412,22.9862575971158 53.1506953426126,22.9855415135204 53.1533550816812,22.9846118395891 53.1550056599444,22.9854347183524 53.1554366916776,22.9865535876361 53.15343527879,22.9875245443181 53.1506463606608,22.9872763993942 53.1488144768679,22.9868428087754 53.1466385820158,22.9853563489464 53.1471687193412)))","198","0","0.85"
"MULTIPOLYGON (((22.9594552602529 53.1647626509954,22.9611010177796 53.1648018356984,22.9607483554524 53.1634695557958,22.9594160755499 53.1632736322808,22.9594552602529 53.1647626509954)))","199","0","0.50"
"MULTIPOLYGON (((22.9243632956851 53.1650299476792,22.9252206297767 53.1657013538955,22.9256544614857 53.1650815943112,22.9285879533022 53.165079123451,22.928495026247 53.1656703659163,22.9307881367088 53.1658356351387,22.9321435222508 53.1650761286195,22.9308707713201 53.163315279496,22.9273794589953 53.1634908780449,22.92535491102 53.1635321953505,22.9243632956851 53.1650299476792)))","200","0","0.70"
"MULTIPOLYGON (((22.8724377718489 53.1573759168133,22.8757948029304 53.1574378927717,22.8765075264523 53.1561467269711,22.8756428133813 53.1555614005497,22.8741161041302 53.1556653012864,22.8724377718489 53.1573759168133)))","201","4","0.90"
"MULTIPOLYGON (((22.904221109196 53.1628504598078,22.9096646642113 53.1636768059202,22.9108215487686 53.1619827963898,22.9049544913708 53.1609085464437,22.904221109196 53.1628504598078)))","202","0","0.70"
"MULTIPOLYGON (((22.836846324516 53.1507737120187,22.8380218656065 53.1513222978609,22.8391566821731 53.1507651479143,22.8413464993709 53.1505379027334,22.8412350112538 53.1500292026614,22.8379043114975 53.1494806168191,22.836846324516 53.1507737120187)))","203","0","0.55"
"MULTIPOLYGON (((22.7968994078516 53.1458225652297,22.7962901568945 53.1479132286985,22.7945623566311 53.1515644292552,22.795071117078 53.1518342331972,22.7960207233849 53.1520130442807,22.796293417602 53.1511949616295,22.7956495593566 53.1510078870848,22.7975409776301 53.1471862919666,22.798211232305 53.1472066949679,22.7987638512676 53.1460239870946,22.7981699149994 53.1459155291673,22.7968994078516 53.1458225652297)))","204","0","0.70"
"MULTIPOLYGON (((22.8008761985174 53.1578562304911,22.8015372754073 53.1578045838591,22.8006282946837 53.1557077305989,22.7988413212157 53.1544165647983,22.7951124343836 53.1527742019,22.7940278551111 53.1526812379623,22.7938522565622 53.152237076927,22.7908042984723 53.1525370236544,22.7865545874573 53.1528878244904,22.7863634949188 53.1533733028315,22.7844887221764 53.1535334073907,22.7846023447668 53.1529704591017,22.7815293701615 53.1535953833492,22.781927049228 53.1543390948503,22.7864719528461 53.1539104278045,22.7945268452588 53.1534774565268,22.7950638221386 53.1537866447479,22.795504948787 53.1536831826236,22.7981802443258 53.1553668628276,22.8008761985174 53.1578562304911)))","205","0","0.95"
"MULTIPOLYGON (((22.7817134473726 53.1543787046961,22.781364100939 53.1534456081163,22.7696748516051 53.1540499695853,22.7691896627843 53.1552169602125,22.7768868916298 53.1548304345945,22.7769689725538 53.1543339301871,22.7801607344128 53.1540343797214,22.7803724856041 53.1546179866632,22.7817134473726 53.1543787046961)))","206","0","0.90"
"MULTIPOLYGON (((22.767998801317 53.1554366916776,22.7691220292757 53.1554015908039,22.7692527118135 53.1550448446474,22.7697384440705 53.1539000984781,22.7687571580621 53.1538484518461,22.7678171893593 53.1551086296674,22.767998801317 53.1554366916776)))","207","3","0.70"
"MULTIPOLYGON (((22.75816344086 53.1666827014431,22.7595124109299 53.1667,22.7587686994288 53.1643430474732,22.7573225937321 53.164415352758,22.7569985752817 53.1647043801167,22.75816344086 53.1666827014431)))","208","0","0.65"
"MULTIPOLYGON (((22.728578990083 53.1391358552229,22.7306832609345 53.1387263179896,22.7315612536789 53.1369806618272,22.7285554196951 53.1375074574739,22.728578990083 53.1391358552229)))","209","0","0.50"
"MULTIPOLYGON (((22.6747602877796 53.1563378195096,22.6764336386572 53.1555941080085,22.6752877939813 53.1542219658841,22.6741122528909 53.1547705517263,22.6747602877796 53.1563378195096)))","210","4","0.80"
"MULTIPOLYGON (((22.6827448570904 53.1517722572387,22.6848417103506 53.1508942644943,22.684418207968 53.1499542957915,22.6819494989573 53.1509975577584,22.6827448570904 53.1517722572387)))","211","0","0.45"
"MULTIPOLYGON (((22.6842322800927 53.1423415822313,22.6913927069209 53.1414869374039,22.6910400445937 53.1410559056707,22.690698438422 53.1403376929088,22.6840979988494 53.14133963757,22.6842322800927 53.1423415822313)))","212","0","0.70"
"MULTIPOLYGON (((22.6580465246543 53.1481091522136,22.6629837972343 53.1524978389514,22.6663928663967 53.1552015834595,22.6672157451601 53.1568081562831,22.6668630828329 53.1584930985128,22.6679210698143 53.1581796208887,22.6681169933294 53.156455493956,22.6672157451601 53.1547705517263,22.6641985230278 53.1521843613272,22.6591436963388 53.1475997510744,22.6580465246543 53.1481091522136)))","213","0","0.95"
"MULTIPOLYGON (((22.6794291433146 53.1619156557681,22.6782516001044 53.1635786773193,22.6763096867403 53.1667,22.6776008525409 53.1667,22.6787752325498 53.1652328674315,22.6803818053734 53.1626466770325,22.6794291433146 53.1619156557681)))","214","0","0.75"
"MULTIPOLYGON (((22.6160105025381 53.1548133497869,22.6216856263809 53.1562087029295,22.6217217790233 53.1559298111165,22.6201982033786 53.1554469151071,22.6204020529381 53.1550822651573,22.6199198086198 53.1548489211323,22.6176079111419 53.154065227072,22.6160329025059 53.154065227072,22.6160105025381 53.1548133497869)))","215","0","0.75"
"MULTIPOLYGON (((22.6016854681298 53.1469252208233,22.600745499427 53.1495901870357,22.5994026869944 53.152151859984,22.5982561317635 53.1540731146953,22.5987992536942 53.156612232768,22.5998180559727 53.156455493956,22.600693852795 53.1539904800841,22.6019437012899 53.1513565018509,22.6034104656394 53.1471524660042,22.6016854681298 53.1469252208233)))","216","0","0.85"
"MULTIPOLYGON (((22.5938868266943 53.1522861412273,22.5944446103202 53.1535463190486,22.5952881629229 53.1531907800734,22.5950176744372 53.1521380113565,22.5938868266943 53.1522861412273)))","217","3","0.85"
"MULTIPOLYGON (((22.5944446103202 53.1535463190486,22.5938868266943 53.1522861412273,22.5915110816212 53.152916230138,22.5868422260863 53.1554572444335,22.5809751686885 53.1586386769661,22.5741578132614 53.1620473546797,22.5750461353322 53.1640305853494,22.5787027168794 53.1625431623471,22.5895691682572 53.1561183213234,22.5944446103202 53.1535463190486)))","218","0","1.00"
"MULTIPOLYGON (((22.5972335284494 53.1614895710538,22.5985040355972 53.1610144220392,22.5981838264786 53.1594546937521,22.5968306847196 53.1595579870162,22.5972335284494 53.1614895710538)))","219","0","0.40"
"MULTIPOLYGON (((22.5478591397735 53.1498332791463,22.5462892906216 53.1502409345991,22.5463099492744 53.1516250643374,22.5468264155946 53.1549511074397,22.5466404877194 53.1577193669161,22.5455455791205 53.1619957080477,22.5449051608834 53.1654457030668,22.5460958281378 53.1658990073828,22.5469119347946 53.1637567274089,22.5478800068879 53.1636690589252,22.5490162327924 53.1581945159307,22.5487063530003 53.1532570979093,22.5478591397735 53.1498332791463)))","220","0","1.00"
"MULTIPOLYGON (((22.5324686518922 53.1495591990565,22.5425300201634 53.1664867779281,22.5439548628542 53.1661274386095,22.5341006854641 53.1486708769857,22.5324686518922 53.1495591990565)))","221","0","1.00"
"MULTIPOLYGON (((22.536809053523 53.1566906021741,22.5361217398353 53.1557052750787,22.5321381134472 53.156541823706,22.5274485992595 53.156107991997,22.5226971091133 53.1557361362464,22.5245977051718 53.1566244583172,22.5278411136629 53.1576780496105,22.5322636279732 53.1582188055917,22.536809053523 53.1566906021741)))","222","0","0.95"
"MULTIPOLYGON (((22.0001353610168 53.1693080765452,22.0001745457198 53.1699742164965,22.0078155628079 53.171149757587,22.0078547475109 53.1704052482297,22.0001353610168 53.1693080765452)))","223","0","0.65"
"MULTIPOLYGON (((22.0117340331095 53.1717375281322,22.0127528353879 53.1717179357807,22.0124393577638 53.1709538340719,22.0115772942975 53.1709538340719,22.0117340331095 53.1717375281322)))","224","4","0.85"
"MULTIPOLYGON (((22.0230192275781 53.175048635537,22.0235678134203 53.1742649414767,22.0226469728995 53.173814317392,22.0221179794087 53.1746176038039,22.0230192275781 53.175048635537)))","225","4","0.85"
"MULTIPOLYGON (((22.0198060819308 53.1726779610046,22.0225098264389 53.1732461391983,22.0226077881964 53.1726387763016,22.0199040436883 53.1721881522169,22.0198060819308 53.1726779610046)))","226","0","0.40"
"MULTIPOLYGON (((22.0372432747729 53.1756364060823,22.0378114529666 53.1745980114524,22.036244064846 53.1743041261797,22.0360873260339 53.1751661896461,22.0372432747729 53.1756364060823)))","227","3","0.95"
"MULTIPOLYGON (((22.0432973113889 53.1762241766275,22.0437871201766 53.1757147754883,22.0429250567102 53.1755384443247,22.0428662796557 53.1759498837064,22.0432973113889 53.1762241766275)))","228","0","0.80"
"MULTIPOLYGON (((22.0460598329515 53.1701897323631,22.0467063805512 53.1698174776844,22.0462557564666 53.1695235924118,22.0457071706243 53.1698762547389,22.0460598329515 53.1701897323631)))","229","0","0.85"
"MULTIPOLYGON (((22.0376155294515 53.1754208902157,22.0427095408436 53.1760674378155,22.0427487255466 53.1754600749187,22.0377134912091 53.174891896725,22.0376155294515 53.1754208902157)))","230","0","0.85"
"MULTIPOLYGON (((22.0436303813645 53.1761849919245,22.0582462755894 53.1786928129175,22.0588340461347 53.1777719723967,22.0440418207462 53.1757735525428,22.0436303813645 53.1761849919245)))","231","0","0.90"
"MULTIPOLYGON (((22.0590495620013 53.1788103670266,22.0657697385685 53.1795940610869,22.0660636238411 53.1789671058386,22.0597157019525 53.1777915647482,22.0590495620013 53.1788103670266)))","232","0","0.90"
"MULTIPOLYGON (((22.0564829639537 53.177399717718,22.0574038044746 53.177438902421,22.055993155166 53.1753425208097,22.0494493097624 53.1692884841937,22.0483913227809 53.1696215541693,22.0564829639537 53.177399717718)))","233","0","0.95"
"MULTIPOLYGON (((22.043610789013 53.1871175240659,22.0537596270941 53.1860595370845,22.0539947353122 53.1854717665393,22.043532419607 53.1862554605996,22.043610789013 53.1871175240659)))","234","0","0.90"
"MULTIPOLYGON (((22.053524518876 53.1854325818362,22.0546216905605 53.1854717665393,22.0603034724978 53.1766552083607,22.0597940713586 53.1761458072215,22.053524518876 53.1854325818362)))","235","0","0.95"
"MULTIPOLYGON (((22.0600291795767 53.1760674378154,22.0605777654189 53.1766552083607,22.0774271877157 53.1707775029083,22.0770353406856 53.1699546241449,22.0600291795767 53.1760674378154)))","236","0","0.95"
"MULTIPOLYGON (((22.0758989842981 53.1803385704442,22.0766043089524 53.1797899846019,22.0701780176578 53.1740690179616,22.0626937393817 53.1667806632007,22.0619492300244 53.1668198479037,22.0727642080568 53.1783401505904,22.0758989842981 53.1803385704442)))","237","0","0.95"
"MULTIPOLYGON (((22.0661419932472 53.1795548763839,22.0766434936554 53.1810047103954,22.0811105497992 53.1828463914372,22.0819726132656 53.182454544407,22.0769177865765 53.1803777551472,22.0664162861683 53.1789279211356,22.0661419932472 53.1795548763839)))","238","0","0.90"
"MULTIPOLYGON (((22.0690220689188 53.1791826217052,22.0700408711972 53.1794373222748,22.0729209468689 53.1785556664569,22.0724507304327 53.1780854500208,22.0690220689188 53.1791826217052)))","239","0","0.75"
"MULTIPOLYGON (((22.074312003826 53.177399717718,22.0747626279107 53.1777915647481,22.0767218630615 53.1769295012818,22.0809929956902 53.1732069544953,22.0879874651785 53.1668394402552,22.0866747776275 53.1667806632007,22.0769177865765 53.176165399573,22.074312003826 53.177399717718)))","240","0","0.95"
"MULTIPOLYGON (((22.0772508565522 53.1702876941206,22.078093327667 53.1703268788236,22.078171697073 53.1692688918422,22.0776035188793 53.1667610708491,22.076780640116 53.1667414784976,22.0775643341763 53.1691709300846,22.0772508565522 53.1702876941206)))","241","0","0.80"
"MULTIPOLYGON (((22.0773488183097 53.1707970952598,22.0783480282366 53.1709538340719,22.0815023968294 53.1717571204837,22.0815611738839 53.17118894229,22.0788770217273 53.1704640252842,22.0773684106612 53.17015054766,22.0773488183097 53.1707970952598)))","242","0","0.80"
"MULTIPOLYGON (((22.1008596401193 53.1767139854152,22.1012710795009 53.1764984695486,22.1007029013072 53.1758715143003,22.1001739078165 53.176165399573,22.1008596401193 53.1767139854152)))","243","0","0.95"
"MULTIPOLYGON (((22.0996645066773 53.1758715143003,22.0999975766529 53.1760478454639,22.1004873854406 53.1756951831368,22.0978816026901 53.173735947986,22.0974897556599 53.1741865720707,22.0996645066773 53.1758715143003)))","244","0","0.75"
"MULTIPOLYGON (((22.1040531934151 53.1667610708491,22.1026817288095 53.1678386501821,22.1003502389801 53.1689945989211,22.0988612202655 53.1697587006299,22.0971762780358 53.171345681102,22.0947272340973 53.1732265468468,22.0936888394674 53.1741865720707,22.0899467003293 53.1768315395242,22.0855188288885 53.1798487616565,22.08163954329 53.1821998438374,22.0821293520777 53.1823957673525,22.0886731974813 53.1781834117783,22.0930814765706 53.1753621131611,22.0949819346669 53.173814317392,22.097803233284 53.1715807893201,22.0994881755137 53.169993808848,22.1019764041552 53.1687007136484,22.103818085197 53.1675839496125,22.1046605563118 53.1668394402552,22.1040531934151 53.1667610708491)))","245","0","1.00"
"MULTIPOLYGON (((22.1085790266134 53.1826308755706,22.1090688354011 53.182376175001,22.10138863361 53.1764984695486,22.1010947483374 53.1769099089303,22.1085790266134 53.1826308755706)))","246","0","0.90"
"MULTIPOLYGON (((22.1091472048071 53.1832970155219,22.1098525294614 53.1829443531947,22.1093235359707 53.182376175001,22.1085790266134 53.1826504679221,22.1091472048071 53.1832970155219)))","247","3","0.75"
"MULTIPOLYGON (((22.1181792788523 53.1770078706878,22.1179049859312 53.1767139854152,22.1097153830009 53.18249372911,22.1100092682735 53.1828659837887,22.1177874318222 53.1773213483119,22.1181792788523 53.1770078706878)))","248","0","0.90"
"MULTIPOLYGON (((22.1180421323918 53.1767335777667,22.1184535717734 53.1770078706878,22.1222740803175 53.174931081428,22.1250170095286 53.1732265468468,22.1292685498058 53.1707383182053,22.1350287011492 53.1668002555522,22.1341666376828 53.1667414784976,22.1326188419137 53.1674272108004,22.130816345575 53.168837860109,22.1276815693337 53.1710713881809,22.1250170095286 53.1726779610045,22.1229010355657 53.1740494256101,22.120980985118 53.1747351579129,22.1180421323918 53.1767335777667)))","249","0","1.00"
"MULTIPOLYGON (((22.1925518451766 53.1771058324453,22.1933355392369 53.1768119471727,22.1928261380977 53.1759890684094,22.1920620363889 53.1764396924941,22.1925518451766 53.1771058324453)))","250","3","0.85"
"MULTIPOLYGON (((22.2102045538852 53.1881167339928,22.2106943626729 53.1875093710961,22.2085392040071 53.1863926070601,22.2082257263829 53.1869020081993,22.2102045538852 53.1881167339928)))","251","3","0.70"
"MULTIPOLYGON (((22.2081081722739 53.1869216005508,22.208421649898 53.1863338300056,22.1971756401324 53.1805149016077,22.194883335006 53.1789279211356,22.1932571698308 53.1769686859848,22.1927869533947 53.1771450171484,22.1940604562427 53.1788887364326,22.1973323789445 53.1814357421286,22.2081081722739 53.1869216005508)))","252","0","1.00"
"MULTIPOLYGON (((22.2459214106843 53.1793981375718,22.246528773581 53.1791238446506,22.2432960355822 53.1773409406634,22.2412976157284 53.1760674378154,22.2404943293165 53.1758911066518,22.2405922910741 53.1765768389546,22.2459214106843 53.1793981375718)))","253","0","0.75"
"MULTIPOLYGON (((22.2458822259812 53.1743824955857,22.2467638817991 53.1744216802887,22.246450404175 53.170072178254,22.2457646718722 53.1700917706055,22.2458822259812 53.1743824955857)))","254","0","0.70"
"MULTIPOLYGON (((22.3027784147604 53.1686223442424,22.3061678915712 53.168955414218,22.3064225921408 53.17015054766,22.3061874839228 53.1750682278885,22.306775254468 53.1750682278885,22.3067948468195 53.1684068283758,22.3028371918149 53.1680541660487,22.3027784147604 53.1686223442424)))","255","1","0.85"
"MULTIPOLYGON (((22.3431778435698 53.1921527584035,22.3438243911696 53.1919568348884,22.3422374106974 53.1881363263443,22.3402585831951 53.1834537543339,22.3405916531707 53.182454544407,22.3433541747334 53.1818275891588,22.3484677784769 53.1812006339105,22.3486441096405 53.1806128633653,22.3408855384434 53.1815728885892,22.3394552967833 53.182376175001,22.3392005962137 53.1833166078734,22.3431778435698 53.1921527584035)))","256","1","0.95"
"MULTIPOLYGON (((22.3748782683097 53.1764788771971,22.3760734017517 53.1764788771971,22.375622777667 53.1757343678398,22.3747215294976 53.1757343678398,22.3748782683097 53.1764788771971)))","257","4","0.70"
"MULTIPOLYGON (((22.3989376759615 53.1668394402552,22.4010340575728 53.1691905224361,22.4029737003721 53.171384865805,22.4027189998025 53.1726387763015,22.4016610128211 53.1738730944465,22.4020528598512 53.1741669797191,22.4037378020809 53.1729130692226,22.4037573944324 53.1711693499384,22.4000936247004 53.1668786249582,22.3989376759615 53.1668394402552)))","258","1","0.90"
"MULTIPOLYGON (((22.4020920445543 53.1742453491252,22.4015630510635 53.1739514638525,22.4020136751482 53.1768903165787,22.4032871779962 53.1810634874499,22.4060888842619 53.1858244288664,22.4077934188431 53.1880187722353,22.4081852658732 53.1878816257747,22.4060692919104 53.1844333719093,22.4037573944324 53.1804953092562,22.4020920445543 53.1742453491252)))","259","0","1.00"
"MULTIPOLYGON (((22.4104579786482 53.1905265932283,22.4140041942711 53.1934262612515,22.4156107670948 53.1956793816749,22.4160809835309 53.1956010122688,22.4143568565982 53.1929364524638,22.4109477874359 53.1901347461981,22.4104579786482 53.1905265932283)))","260","0","0.95"
"MULTIPOLYGON (((22.4178442951667 53.1992451896493,22.4179422569242 53.1994998902189,22.4185300274694 53.1993627437584,22.4183341039544 53.1986770114556,22.4177071487061 53.1988533426192,22.4178442951667 53.1992451896493)))","261","3","0.80"
"MULTIPOLYGON (((22.4175700022455 53.1987945655646,22.4181381804393 53.1985790496981,22.4161789452885 53.1957577510809,22.4156107670947 53.1958948975415,22.4175700022455 53.1987945655646)))","262","0","0.75"
"MULTIPOLYGON (((22.3756815547215 53.1845901107214,22.3766807646484 53.1847272571819,22.3767395417029 53.1838064166611,22.3757795164791 53.1838064166611,22.3756815547215 53.1845901107214)))","263","3","0.90"
"MULTIPOLYGON (((22.3757991088306 53.184766441885,22.3759950323456 53.1855501359453,22.3821470307191 53.1952679422932,22.3860263163177 53.2011260553941,22.3864181633479 53.2019293418059,22.3870255262446 53.2017334182908,22.3808343431681 53.1917805037248,22.3765632105394 53.1849427730485,22.3757991088306 53.184766441885)))","264","0","0.95"
"MULTIPOLYGON (((22.3869667491901 53.2026542588117,22.3876132967899 53.2026738511632,22.3872802268142 53.2020273035635,22.3866728639175 53.202164450024,22.3869667491901 53.2026542588117)))","265","3","0.90"
"MULTIPOLYGON (((22.3721941161531 53.1950132417236,22.3727231096438 53.194601802342,22.3717238997169 53.1938964776877,22.3710577597656 53.1943275094208,22.3721941161531 53.1950132417236)))","266","4","0.70"
"MULTIPOLYGON (((22.3284052105328 53.1946605793965,22.3304428150896 53.1944646558814,22.330266483926 53.1933282994939,22.3278566246906 53.1935046306575,22.3284052105328 53.1946605793965)))","267","4","0.80"
"MULTIPOLYGON (((22.3172767548763 53.1957773434324,22.3186090347788 53.1954246811053,22.317923302476 53.1944450635299,22.316767353737 53.1946213946935,22.3172767548763 53.1957773434324)))","268","3","0.90"
"MULTIPOLYGON (((22.325172472534 53.19483691056,22.3263871983275 53.1948760952631,22.3259953512973 53.1938572929846,22.3250353260734 53.1939552547422,22.325172472534 53.19483691056)))","269","3","0.95"
"MULTIPOLYGON (((22.3249961413704 53.1948173182085,22.3248198102068 53.1942491400148,22.3186286271303 53.194797725857,22.3186482194818 53.1953071269962,22.3249961413704 53.1948173182085)))","270","0","0.80"
"MULTIPOLYGON (((22.2996828232221 53.1937005541726,22.2999767084947 53.1925641977851,22.2943341112604 53.1912319178826,22.293315308982 53.1919568348884,22.2996828232221 53.1937005541726)))","271","0","0.85"
"MULTIPOLYGON (((22.2932173472245 53.1917413190218,22.2940010412848 53.1912515102341,22.285791846003 53.1877444793142,22.2856938842454 53.188626135132,22.2932173472245 53.1917413190218)))","272","0","0,85"
"MULTIPOLYGON (((22.2610075213454 53.1908204785009,22.2608899672363 53.1902523003072,22.2571674204498 53.1906637396888,22.2572457898558 53.1912123255311,22.2610075213454 53.1908204785009)))","273","0","0,50"
"MULTIPOLYGON (((22.2420421250857 53.1930344142213,22.2436095132063 53.1929560448153,22.2435899208548 53.1918784654823,22.2421400868432 53.1917609113733,22.2420421250857 53.1930344142213)))","274","3","0.95"
"MULTIPOLYGON (((22.2419049786251 53.1929364524638,22.2419833480311 53.1918784654823,22.2306981535626 53.192289904864,22.2239387922923 53.1928384907062,22.2186880420882 53.1926425671911,22.2189623350093 53.1932695224394,22.223272652341 53.1933674841969,22.2284842178422 53.1928972677607,22.232990458689 53.1927209365972,22.239162049414 53.1927209365972,22.2419049786251 53.1929364524638)))","275","0","1.00"
"MULTIPOLYGON (((22.2188251885487 53.1932891147909,22.2186096726821 53.1925641977851,22.2082649110859 53.1936221847665,22.2084020575465 53.1942883247178,22.2188251885487 53.1932891147909)))","276","0","0.90"
"MULTIPOLYGON (((22.2141818012413 53.1912515102341,22.2172578004281 53.189782083871,22.2168463610464 53.1891159439197,22.2139466930232 53.1908204785009,22.2141818012413 53.1912515102341)))","277","0","0.65"
"MULTIPOLYGON (((22.2185313032761 53.1933870765484,22.2197068443666 53.1948956876146,22.2230375441229 53.1976778015287,22.2238016458317 53.1974231009591,22.2205689078329 53.1950720187781,22.2192562202819 53.1933478918454,22.2185313032761 53.1933870765484)))","278","0","0.85"
"MULTIPOLYGON (((22.1852047133611 53.1946605793965,22.1849304204399 53.1939552547422,22.1806201031082 53.1937985159301,22.1806005107567 53.1945626176389,22.1852047133611 53.1946605793965)))","279","0","0.60"
"MULTIPOLYGON (((22.1638294578659 53.1938768853362,22.1684728451732 53.1942883247178,22.1684728451732 53.1935438153605,22.1639861966779 53.1931715606819,22.1638294578659 53.1938768853362)))","280","0","0.60"
"MULTIPOLYGON (((22.159362401722 53.1941315859058,22.160596719867 53.1940924012027,22.160557535164 53.1930540065728,22.1594211787766 53.1929364524638,22.159362401722 53.1941315859058)))","281","3","0.85"
"MULTIPOLYGON (((22.1416901006619 53.1935438153605,22.159284032316 53.1939160700392,22.159284032316 53.1931911530334,22.1417096930134 53.1928580830577,22.1416901006619 53.1935438153605)))","282","0","1.00"
"MULTIPOLYGON (((22.1254284489102 53.1924858283791,22.1197074822699 53.192289904864,22.1197270746214 53.1928188983547,22.1255068183163 53.1929364524638,22.1254284489102 53.1924858283791)))","283","0","0.75"
"MULTIPOLYGON (((22.1122232039939 53.1924466436761,22.1142999932537 53.1920743889974,22.1179049859312 53.1927797136517,22.1184535717734 53.192172350755,22.1139081462236 53.1915062108037,22.1120860575333 53.1918392807793,22.1122232039939 53.1924466436761)))","284","0","0.75"
